benchmarks,perf_weight,total_fidelity,nbins,total_coherence_fidelity,total_transfer_fidelity,avg_bin_duration,cummulative_duration
swap_test_n25-bv_n19-adder_n18-ghz_n23-wstate_n27,1.0,0.47611261464091564,5,0.8393650436145728,0.779638847151953,1.0,61375.73670163574
dnn_n16-cat_n22-bv_n19-seca_n11-ghz_n23-swap_test_n25,1.0,0.5533781680046641,5,0.9048011365437615,0.815379142779922,1.0,34464.35172271349
adder_n18-swap_test_n25-bv_n19-dnn_n16-seca_n11-ghz_n23-ising_n26,1.0,0.4644187067703106,6,0.8850974663430905,0.7576967097183658,1.0,54178.58451446194
adder_n18-seca_n11-dnn_n16-knn_n25-bv_n19-wstate_n27-ghz_n23-cat_n22,1.0,0.4446178469518349,6,0.8909741803343153,0.7471576311382307,1.0,48119.028243214525
adder_n18-cat_n22-knn_n25-ising_n26-wstate_n27-bv_n19-qft_n18-seca_n11-swap_test_n25,1.0,0.24255746685348198,6,0.8128783033822921,0.6122719921595025,1.0,65117.20215084395
bv_n19-knn_n25-swap_test_n25-ising_n26-wstate_n27-cat_n22-ghz_n23-qft_n18-adder_n18-seca_n11,1.0,0.1301601325384853,5,0.7480733888440888,0.42044849639776305,1.0,65129.9052786058
swap_test_n25-bv_n19-adder_n18-ghz_n23-wstate_n27,0.8,0.16981432205936142,2,0.7007728880565752,0.5367025720391558,1.0,29901.49889830826
dnn_n16-cat_n22-bv_n19-seca_n11-ghz_n23-swap_test_n25,0.8,0.5533781680046641,5,0.9048011365437615,0.815379142779922,1.0,34464.35172271349
adder_n18-swap_test_n25-bv_n19-dnn_n16-seca_n11-ghz_n23-ising_n26,0.8,0.3627104011635762,5,0.879814885204009,0.7009086470475195,1.0,44177.90180299634
adder_n18-seca_n11-dnn_n16-knn_n25-bv_n19-wstate_n27-ghz_n23-cat_n22,0.8,0.18545292538627672,3,0.7436949140261502,0.5582445257680927,1.0,33648.206376976115
