benchmarks,tile_widths,perf_weight,total_fidelity,nbins,total_coherence_fidelity,total_transfer_fidelity,avg_bin_duration,cummulative_duration
swap_test_n25-bv_n19,"[[37, 52]]",0.2,0.5750061010156474,1,0.9292504472635889,0.801628036393832,4524.728970847901,7295.401573750142
adder_n18-ghz_n23-dnn_n16-seca_n11,"[[37, 47, 37], [22]]",0.2,0.4300776403943987,2,0.9219694357252903,0.7571914943525917,7260.532739177842,26588.11899466253
cat_n22-bv_n19-seca_n11-wstate_n27-ghz_n23-dnn_n16,"[[22, 47, 47, 37, 57], [37]]",0.2,0.5790882685602242,2,0.9194652257891963,0.8478237090774324,6621.705138729738,14083.484534666932
adder_n18-swap_test_n25-bv_n19-dnn_n16-seca_n11-ghz_n23-ising_n26-wstate_n27,"[[37, 22, 37, 52, 57, 57, 37, 47]]",0.2,0.4685985638289607,1,0.8942927714539962,0.7711441471203284,7404.944400699105,16582.07178485758
seca_n11-dnn_n16-swap_test_n25-knn_n25-bv_n19-wstate_n27-ghz_n23-cat_n22-adder_n18-ising_n26,"[[37, 47, 37, 37, 52, 57, 22, 47, 52], [57]]",0.2,0.48159350493148523,2,0.8865938986869851,0.7787033741169915,8024.590884383462,19659.469147834207
swap_test_n25-bv_n19,"[[37], [52]]",0.4,0.539636647103667,2,0.8629643345119091,0.8040377382995528,8390.553242399536,19458.212039947837
adder_n18-ghz_n23-dnn_n16-seca_n11,"[[37, 47, 22], [37]]",0.4,0.498267714820536,2,0.93393106449133,0.7771467460721321,5994.205188999045,15444.740157857452
cat_n22-bv_n19-seca_n11-wstate_n27-ghz_n23-dnn_n16,"[[47, 37, 57, 22, 47, 37]]",0.4,0.5788189942328782,1,0.9190376771862725,0.8478237090774324,6699.017363469182,9163.09082837992
adder_n18-swap_test_n25-bv_n19-dnn_n16-seca_n11-ghz_n23-ising_n26-wstate_n27,"[[37, 22, 37, 52, 57, 57, 37, 47]]",0.4,0.4685985638289607,1,0.8942927714539962,0.7711441471203284,7404.944400699105,16582.07178485758
seca_n11-dnn_n16-swap_test_n25-knn_n25-bv_n19-wstate_n27-ghz_n23-cat_n22-adder_n18-ising_n26,"[[37, 47, 37, 37, 52, 57, 22, 47, 52], [57]]",0.4,0.48159350493148523,2,0.8865938986869851,0.7787033741169915,8024.590884383462,19659.469147834207
