benchmark,perf_weight,storage_zone_cols,nqubits,total_fidelity,total_1q_gate_fidelity,total_2q_gate_fidelity,total_coherence_fidelity,total_2q_on_idle,total_transfer_fidelity,total_duration
cat_n22.qasm,1.0,22,22,0.721148179990806,0.96202251381512,0.909633720870719,0.8999321360692941,1.0,0.9157205572498951,7350.449286477021
ghz_n23.qasm,1.0,23,23,0.7046588903395631,0.960291652528489,0.905540369126801,0.888470574951551,1.0,0.9120631656822731,7873.940191585898
wstate_n27.qasm,1.0,27,27,0.437625187891079,0.9097890217953091,0.790944020035225,0.75486695566132,1.0,0.805648229109544,15945.209051577553
dj_n26.qasm,1.0,26,26,0.664657958931815,0.9542581251987671,0.8933705032036481,0.8651471042133341,1.0,0.9011784036598741,8521.060990474954
swap_test_n25.qasm,1.0,38,25,0.326942161127351,0.8871387370561481,0.722721599141222,0.728105888219426,1.0,0.700347864034748,19528.76743069242
qaoa_maxcut_n14.qasm,1.0,18,14,0.7701291074512561,0.970723729284053,0.8813641922600811,0.963516797845365,1.0,0.9342286880693631,4177.431116385425
dj_n16.qasm,1.0,16,16,0.8095729225583971,0.9715981676349251,0.934585342360254,0.9505152194211701,1.0,0.9379749638258461,4921.916109301565
bv_n14.qasm,1.0,14,14,0.8360906926086571,0.9742262117471581,0.9430537290839961,0.9624757616344001,1.0,0.945512643502422,4265.542413013658
hamsim_n18.qasm,1.0,18,18,0.753042679116755,0.9542581251987671,0.926192999632195,0.915665977469415,1.0,0.930497374953234,7552.191741213914
graphstate_n20.qasm,1.0,20,20,0.767656640426266,0.9821530721096691,0.9137455759625511,0.949186972272086,1.0,0.9011784036598731,4041.210960278259
bv_n19.qasm,1.0,19,19,0.7668423058528391,0.9654936012956281,0.9220251311338501,0.929473047565718,1.0,0.9267809647166121,5940.747548116217
multiply_n13.qasm,1.0,13,13,0.63741706386963,0.9525412335224901,0.8424963844998471,0.922887197375554,1.0,0.8606433826830371,9648.492112554672
knn_n25.qasm,1.0,38,25,0.326942161127351,0.8871387370561481,0.722721599141222,0.728105888219426,1.0,0.700347864034748,19528.76743069242
wstate_n24.qasm,1.0,24,24,0.48205939864878805,0.9196724659362091,0.8126399349452821,0.7816196520827731,1.0,0.8252275899809911,15720.689697996722
cat_n22.qasm,0.8,18,22,0.7225274555011061,0.96202251381512,0.909633720870719,0.9016533556336671,1.0,0.9157205572498951,7220.168580248026
ghz_n23.qasm,0.8,18,23,0.708117960680218,0.960291652528489,0.905540369126801,0.8928319507271111,1.0,0.9120631656822731,7554.580492871413
wstate_n27.qasm,0.8,22,27,0.41469430809519103,0.9097890217953091,0.790944020035225,0.715313100213526,1.0,0.805648229109544,18935.27387460348
dj_n26.qasm,0.8,21,26,0.664782237372678,0.9542581251987671,0.8933705032036481,0.865308870324435,1.0,0.9011784036598741,8510.274630786686
swap_test_n25.qasm,0.8,31,25,0.32315666232629503,0.8871387370561481,0.722721599141222,0.719675516445432,1.0,0.700347864034748,20227.53040951418
qaoa_maxcut_n14.qasm,0.8,15,14,0.773439003356011,0.970723729284053,0.8813641922600811,0.96765784416149,1.0,0.9342286880693631,3717.9343891056
dj_n16.qasm,0.8,13,16,0.8088720900110781,0.9715981676349251,0.934585342360254,0.949692375692173,1.0,0.9379749638258461,5003.108926984825
bv_n14.qasm,0.8,11,14,0.8351225460188411,0.9742262117471581,0.9430537290839961,0.961361268153436,1.0,0.945512643502422,4389.67977738128
hamsim_n18.qasm,0.8,14,18,0.7574396969994761,0.9542581251987671,0.926192999632195,0.9210125531538831,1.0,0.930497374953234,7067.023297419082
graphstate_n20.qasm,0.8,16,20,0.765537003684951,0.9821530721096691,0.9137455759625511,0.946566097945138,1.0,0.9011784036598731,4248.585752746101
bv_n19.qasm,0.8,15,19,0.7674333243660281,0.9654936012956281,0.9220251311338501,0.9301894083799681,1.0,0.9267809647166121,5879.924893186189
multiply_n13.qasm,0.8,10,13,0.6333951745211021,0.9525412335224901,0.8424963844998471,0.9170640865750931,1.0,0.8606433826830371,10378.837148518582
knn_n25.qasm,0.8,31,25,0.32315666232629503,0.8871387370561481,0.722721599141222,0.719675516445432,1.0,0.700347864034748,20227.53040951418
wstate_n24.qasm,0.8,19,24,0.47734512545689406,0.9196724659362091,0.8126399349452821,0.7739758459825291,1.0,0.8252275899809911,16334.913288766757
cat_n22.qasm,0.6,13,22,0.727723312009197,0.96202251381512,0.909633720870719,0.9081373465467351,1.0,0.9157205572498951,6731.612438856225
ghz_n23.qasm,0.6,14,23,0.708761468472317,0.960291652528489,0.905540369126801,0.893643318817218,1.0,0.9120631656822731,7495.340586487297
wstate_n27.qasm,0.6,16,27,0.41195146347508804,0.9097890217953091,0.790944020035225,0.7105819219689481,1.0,0.805648229109544,19303.946457520233
dj_n26.qasm,0.6,16,26,0.667707795987164,0.9542581251987671,0.8933705032036481,0.869116902003762,1.0,0.9011784036598741,8256.940654940914
swap_test_n25.qasm,0.6,23,25,0.318446764326069,0.8871387370561481,0.722721599141222,0.709186491551692,1.0,0.700347864034749,21108.4451445359
